iter	Passed	Remaining
440	10145	12860
441	10168	12837
442	10193	12816
443	10217	12795
444	10239	12771
445	10262	12747
446	10284	12722
447	10305	12697
448	10327	12673
449	10349	12649
450	10371	12625
451	10395	12603
452	10416	12578
453	10439	12554
454	10461	12531
455	10482	12505
456	10502	12478
457	10525	12456
458	10550	12434
459	10575	12414
460	10602	12395
461	10626	12374
462	10647	12349
463	10669	12324
464	10691	12300
465	10716	12279
466	10736	12254
467	10758	12229
468	10780	12205
469	10802	12181
470	10825	12158
471	10847	12134
472	10859	12099
473	10880	12074
474	10903	12051
475	10927	12029
476	10949	12004
477	10971	11981
478	10992	11955
479	11015	11933
480	11038	11910
481	11060	11887
482	11083	11863
483	11106	11840
484	11128	11816
485	11148	11791
486	11171	11767
487	11193	11743
488	11215	11720
489	11238	11696
490	11262	11675
491	11283	11650
492	11304	11625
493	11327	11602
494	11349	11578
495	11371	11554
496	11392	11529
497	11413	11505
498	11436	11482
499	11462	11462
500	11484	11439
501	11505	11413
502	11527	11389
503	11552	11368
504	11578	11348
505	11600	11325
506	11622	11301
507	11642	11275
508	11664	11252
509	11689	11230
510	11711	11207
511	11732	11182
512	11753	11157
513	11774	11133
514	11796	11108
515	11817	11084
516	11839	11061
517	11861	11036
518	11883	11013
519	11906	10990
520	11930	10968
521	11953	10945
522	11975	10922
523	11998	10899
524	12021	10876
525	12041	10851
526	12064	10828
527	12088	10806
528	12113	10785
529	12137	10763
530	12159	10739
531	12181	10715
532	12207	10695
533	12229	10671
534	12251	10648
535	12272	10624
536	12294	10600
537	12316	10576
538	12339	10553
539	12361	10530
540	12384	10507
541	12406	10483
542	12427	10458
543	12450	10436
544	12472	10412
545	12494	10388
546	12519	10368
547	12542	10345
548	12564	10321
549	12591	10302
550	12615	10280
551	12638	10256
552	12660	10234
553	12682	10210
554	12705	10187
555	12725	10162
556	12746	10137
557	12768	10114
558	12790	10090
559	12812	10066
560	12834	10043
561	12858	10021
562	12879	9996
563	12901	9973
564	12922	9949
565	12944	9925
566	12967	9902
567	12990	9880
568	13014	9858
569	13035	9834
570	13057	9809
571	13078	9786
572	13099	9761
573	13122	9738
574	13143	9714
575	13165	9691
576	13189	9669
577	13213	9647
578	13233	9622
579	13257	9600
580	13280	9577
581	13302	9554
582	13324	9530
583	13346	9506
584	13368	9483
585	13387	9458
586	13411	9436
587	13434	9413
588	13455	9389
589	13476	9364
590	13496	9340
591	13518	9316
592	13539	9292
593	13564	9271
594	13590	9250
595	13611	9226
596	13632	9202
597	13654	9178
598	13677	9156
599	13697	9131
600	13718	9107
601	13739	9083
602	13759	9059
603	13781	9035
604	13802	9011
605	13827	8990
606	13848	8966
607	13873	8944
608	13896	8921
609	13919	8899
610	13941	8876
611	13964	8853
612	13986	8830
613	14009	8807
614	14030	8783
615	14052	8760
616	14078	8739
617	14100	8715
618	14122	8692
619	14145	8670
620	14169	8647
621	14191	8624
622	14213	8601
623	14234	8577
624	14258	8555
625	14280	8531
626	14307	8511
627	14327	8487
628	14349	8463
629	14370	8440
630	14391	8415
631	14414	8393
632	14437	8370
633	14459	8347
634	14481	8324
635	14503	8300
636	14525	8277
637	14550	8255
638	14577	8235
639	14599	8211
640	14619	8187
641	14641	8164
642	14663	8141
643	14684	8117
644	14706	8094
645	14727	8070
646	14750	8047
647	14771	8023
648	14793	8000
649	14816	7978
650	14838	7954
651	14859	7930
652	14880	7907
653	14902	7884
654	14924	7860
655	14948	7839
656	14970	7815
657	14991	7791
658	15012	7768
659	15034	7744
660	15054	7721
661	15077	7698
662	15098	7674
663	15119	7650
664	15140	7627
665	15163	7604
666	15185	7581
667	15207	7558
668	15232	7536
669	15254	7513
670	15276	7490
671	15297	7466
672	15320	7443
673	15341	7420
674	15361	7396
675	15386	7374
676	15408	7351
677	15431	7328
678	15452	7305
679	15473	7281
680	15495	7258
681	15518	7235
682	15540	7212
683	15567	7192
684	15592	7170
685	15614	7147
686	15635	7123
687	15659	7101
688	15682	7078
689	15706	7056
690	15729	7033
691	15753	7011
692	15774	6988
693	15801	6967
694	15824	6944
695	15845	6921
696	15867	6897
697	15888	6874
698	15911	6851
699	15934	6828
700	15957	6806
701	15980	6783
702	16003	6760
703	16027	6738
704	16049	6715
705	16073	6693
706	16096	6670
707	16116	6646
708	16136	6623
709	16158	6599
710	16179	6576
711	16201	6553
712	16228	6532
713	16252	6509
714	16272	6486
715	16295	6463
716	16317	6440
717	16341	6418
718	16365	6395
719	16387	6372
720	16410	6350
721	16434	6328
722	16457	6305
723	16479	6282
724	16502	6259
725	16524	6236
726	16552	6215
727	16576	6193
728	16598	6170
729	16619	6147
730	16641	6123
731	16666	6101
732	16688	6078
733	16710	6055
734	16733	6033
735	16758	6011
736	16780	5988
737	16803	5965
738	16828	5943
739	16851	5920
740	16874	5897
741	16900	5876
742	16923	5853
743	16948	5831
744	16971	5809
745	16993	5785
746	17015	5762
747	17035	5739
748	17056	5716
749	17079	5693
750	17103	5670
751	17125	5647
752	17145	5624
753	17166	5600
754	17188	5577
755	17211	5555
756	17232	5531
757	17254	5508
758	17276	5485
759	17298	5462
760	17323	5440
761	17344	5417
762	17365	5394
763	17387	5371
764	17411	5348
765	17431	5325
766	17454	5302
767	17476	5279
768	17498	5256
769	17519	5233
770	17547	5211
771	17571	5189
772	17591	5166
773	17613	5143
774	17636	5120
775	17659	5097
776	17681	5074
777	17702	5051
778	17724	5028
779	17746	5005
780	17769	4982
781	17791	4959
782	17812	4936
783	17833	4913
784	17857	4890
785	17881	4868
786	17902	4845
787	17923	4821
788	17948	4799
789	17970	4777
790	17993	4754
791	18014	4731
792	18035	4707
793	18057	4684
794	18081	4662
795	18103	4639
796	18124	4616
797	18144	4593
798	18166	4570
799	18191	4547
800	18213	4524
801	18234	4501
802	18256	4478
803	18277	4455
804	18299	4432
805	18322	4410
806	18342	4386
807	18363	4363
808	18385	4340
809	18406	4317
810	18429	4294
811	18451	4271
812	18472	4248
813	18493	4225
814	18516	4203
815	18537	4180
816	18563	4158
817	18585	4135
818	18609	4112
819	18632	4090
820	18655	4067
821	18676	4044
822	18701	4022
823	18722	3999
824	18745	3976
825	18765	3953
826	18787	3930
827	18808	3907
828	18831	3884
829	18855	3862
830	18878	3839
831	18899	3816
832	18921	3793
833	18942	3770
834	18963	3747
835	18985	3724
836	19005	3701
837	19028	3678
838	19051	3655
839	19073	3633
840	19094	3610
841	19115	3587
842	19138	3564
843	19161	3541
844	19183	3518
845	19206	3496
846	19228	3473
847	19248	3450
848	19269	3427
849	19295	3405
850	19317	3382
851	19338	3359
852	19360	3336
853	19381	3313
854	19401	3290
855	19425	3267
856	19446	3244
857	19468	3222
858	19491	3199
859	19515	3176
860	19536	3154
861	19562	3131
862	19583	3108
863	19603	3085
864	19624	3062
865	19646	3039
866	19667	3016
867	19689	2994
868	19711	2971
869	19733	2948
870	19756	2925
871	19776	2902
872	19797	2880
873	19821	2857
874	19844	2834
875	19866	2812
876	19887	2789
877	19907	2766
878	19934	2744
879	19955	2721
880	19978	2698
881	20000	2675
882	20021	2652
883	20041	2629
884	20065	2607
885	20090	2585
886	20112	2562
887	20133	2539
888	20160	2517
889	20185	2494
890	20211	2472
891	20234	2449
892	20257	2427
893	20283	2404
894	20308	2382
895	20331	2359
896	20351	2336
897	20373	2314
898	20398	2291
899	20421	2269
900	20444	2246
901	20466	2223
902	20489	2200
903	20513	2178
904	20538	2155
905	20562	2133
906	20584	2110
907	20605	2087
908	20630	2065
909	20652	2042
910	20673	2019
911	20696	1997
912	20716	1974
913	20736	1951
914	20759	1928
915	20781	1905
916	20802	1882
917	20827	1860
918	20854	1838
919	20873	1815
920	20894	1792
921	20916	1769
922	20938	1746
923	20958	1723
924	20979	1701
925	21001	1678
926	21021	1655
927	21042	1632
928	21064	1609
929	21088	1587
930	21111	1564
931	21132	1541
932	21156	1519
933	21178	1496
934	21201	1473
935	21225	1451
936	21247	1428
937	21268	1405
938	21291	1383
939	21316	1360
940	21337	1337
941	21358	1315
942	21379	1292
943	21400	1269
944	21421	1246
945	21442	1223
946	21464	1201
947	21488	1178
948	21510	1155
949	21532	1133
950	21559	1110
951	21580	1088
952	21602	1065
953	21623	1042
954	21644	1019
955	21663	997
956	21684	974
957	21709	951
958	21731	929
959	21753	906
960	21775	883
961	21799	861
962	21820	838
963	21842	815
964	21863	792
965	21884	770
966	21905	747
967	21930	724
968	21952	702
969	21975	679
970	21996	656
971	22018	634
972	22041	611
973	22066	589
974	22087	566
975	22109	543
976	22132	521
977	22157	498
978	22180	475
979	22202	453
980	22223	430
981	22245	407
982	22268	385
983	22290	362
984	22312	339
985	22335	317
986	22360	294
987	22381	271
988	22405	249
989	22429	226
990	22451	203
991	22472	181
992	22494	158
993	22514	135
994	22537	113
995	22562	90
996	22588	67
997	22611	45
998	22634	22
999	22654	0
